ID,Product,Price
1,Soup Bowl Clear 8oz92008,171
2,Hersey Shakes,126
3,Corn Meal,89
4,"Orange - Canned, Mandarin",189
5,Appetizer - Sausage Rolls,76
6,Wine - Carmenere Casillero Del,91
7,Butter Sweet,189
8,Irish Cream - Butterscotch,189
9,Haggis,141
10,"Lamb - Whole, Frozen",155
11,Wine - Redchard Merritt,184
12,Salt - Kosher,126
13,Flour Dark Rye,145
14,Nantucket - Kiwi Berry Cktl.,179
15,Bay Leaf Ground,61
16,Chocolate - Milk Coating,61
17,Cheese - Asiago,117
18,Salami - Genova,161
19,Cheese - Cambozola,120
20,Plasticforkblack,157
21,Pop Shoppe Cream Soda,64
22,Wine - Taylors Reserve,65
23,Ecolab - Medallion,91
24,Red Cod Fillets - 225g,91
25,Plastic Arrow Stir Stick,105
26,Vodka - Moskovskaya,187
27,Pants Custom Dry Clean,56
28,Beer - Paulaner Hefeweisse,116
29,Eggplant - Regular,175
30,Wine - Ej Gallo Sierra Valley,109
31,Lettuce - Baby Salad Greens,145
32,Wasabi Powder,74
33,"Tart Shells - Sweet, 2",145
34,Easy Off Oven Cleaner,56
35,"Beef - Chuck, Boneless",129
36,"Wine - White, Pelee Island",172
37,Soup Campbells Mexicali Tortilla,174
38,Bowl 12 Oz - Showcase 92012,125
39,"Veal - Inside, Choice",56
40,Cup - Paper 10oz 92959,88
41,Lettuce - Iceberg,119
42,Mussels - Frozen,197
43,Broom - Corn,154
44,Seaweed Green Sheets,160
45,Steampan - Foil,68
46,Compound - Strawberry,137
47,Pork Loin Cutlets,193
48,Anchovy Paste - 56 G Tube,200
49,"Beans - Navy, Dry",196
50,Icecream - Dibs,103
